"","x"
"(Intercept)",-0.786709627462271
"REVENUE",0.181575284785172
"MOU",-0.00028369391973045
"RECCHRGE",-0.0239148345671838
"OVERAGE",0.00155606181271062
"ROAM",0.0183028050282705
"CHANGEM",-0.00055495852386502
"CHANGER",0.00213268428041676
"DROPVCE",0.00613670932668126
"THREEWAY",-0.0583210368015881
"PEAKVCE",-0.000924131103875414
"DROPBLK",0.00599443534993018
"MONTHS",-0.0571986699356518
"UNIQSUBS",0.937779572080089
"ACTVSUBS",-0.727302667898261
"EQPDAYS",0.0225959832420435
"AGE1",-0.0039723190719867
"SETPRC",0.00176232296198341
"CREDITAA",0.122772598383517
"CREDITB",0.136439428329826
"CREDITDE",-0.209545061875268
"REFURB",0.271709244794146
"WEBCAP",-0.181263586296103
"MAILRES",-0.109935130767283
"NEWCELLY",-0.0813219878316968
"CREDITAD",-0.204469384916753
